c_assoc_code,Weight,c_assoc_pair,c_assoc_desc,c_assoc_desc_chn,c_assoc_role_type,c_sortorder
-1,Nil,-1,[Missing Data],[缺乏信息],,
0,Nil,0,[Undefined],未詳,,1
1,-1,0,Listed in Yuanyou coalition register (元祐黨),入元祐黨籍者,A,109
2,-1,0,Yuanfu coalition member (元符黨),元符上書入籍者,A,110
4,1,5,Patron of (= Client was),是Y的恩主,A,98
5,1,4,Patron was (= Client of),恩主是Y,P,99
7,0.5,8,Coalition member of,黨羽為Y,P,92
8,0.5,7,Coalition leader of,黨魁為Y,A,91
9,1,9,Friend of,友,M,20
10,1,10,Friend in the same graduating class,同年友,M,207
11,-1,12,Impeached,彈劾,A,143
12,-1,11,Impeached by,被Y彈劾,P,144
13,1,14,Recommended,推薦,A,119
14,1,13,Recommended by,被Y推薦,P,120
15,-1,16,Opposed or attacked,反對/攻訐,A,153
16,-1,15,Opposed by or attacked by,遭到Y的反對/攻訐,P,154
17,1,18,Praised or admired by,被Y欣賞/器重,P,101
18,1,17,Praised or admired,欣賞/器重,A,100
19,1,20,Menren of,為Y之門人,A,222
20,1,19,Menren was,門人為Y,P,223
21,0.5,21,Coalition associate of,與Y結黨,M,90
22,1,23,Student of,為Y之學生,A,224
23,1,22,Student was,學生為Y,P,225
24,1,25,"Directly recruited (bi, zoubi, etc)",辟,A,80
25,1,24,"Directly recruited (bi, zoubi) by",為Y所辟,P,79
26,1,27,Supported by,得到Y的支持,P,87
27,1,26,Supported,支持,A,86
29,-1,30,Purged,排擠,A,157
30,-1,29,Purged by,遭Y排擠,P,158
31,Nil,31,Passed institute exam with,(暫時保留，待刪除),M,211
32,0.5,33,Prefaced book by,為Y所著書作序,A,429
33,0.5,32,Preface of book by,書序由Y所作,P,428
34,0.5,35,Member of the school of,為Y學派的成員,A,209
35,0.5,34,Member of his school was,該學派的成員為Y,P,210
36,1,37,Disciple (dizi) of,為Y之弟子,A,220
37,1,36,Disciple (dizi) was,弟子為Y,P,221
38,0.5,39,Eulogized,為Y作哀辭 [併入167],A,361
39,0.5,38,Eulogized by,哀辭由Y所作[併入166],P,360
40,0.5,41,Calling transmitted to,其志業由Y傳承,P,218
41,0.5,40,Calling received from,以Y之志業自任,A,219
42,0.5,42,Philosophic school of lixue,研修理學,M,282
43,0.5,44,Epitaph written by,墓誌銘由Y所作,P,316
44,0.5,43,Epitaph written for,為Y作墓誌銘,A,317
45,0.5,46,Postface of book written by,書跋由Y所作,P,422
46,0.5,45,Postface written for book by,為Y所著書作跋,A,423
47,1,48,Healed,醫愈,A,43
48,1,47,Healed by,被Y醫愈,P,44
49,0.5,50,followed,從Y遊,A,212
50,0.5,49,followed by,從遊者為Y,P,213
53,0.5,54,Occupation continued by,職業被Y繼承,P,14
54,0.5,53,Occupation inherited from,繼承Y的職業,A,15
55,1,56,Recommended for decree exam by,被Y推薦參加制科考試,P,125
56,1,55,Recommended for decree exam,推薦Y參加制科考試,A,124
57,0.5,58,Followed literary style of,文風效法Y,A,269
58,0.5,57,Literary style followed by,文風為Y所效法,P,270
59,-1,60,Planned to assassinate,籌劃謀殺,A,173
60,-1,59,Assassination planned by,被Y籌劃謀殺,P,174
61,-1,61,Disagreed with views of,不合,M,134
64,1,65,Officer under command of,為Y之部將,A,73
65,1,64,Officer under his command was,部將為Y,P,74
66,1,67,Staff member of,為Y之幕僚,A,77
67,1,66,Staff member was,幕僚為Y,P,78
68,1,69,Recognized the virtue of,節行為Y所稱道,A,8
69,1,68,Virtue recognized by,稱道Y之節行,P,9
70,1,71,Poetry known or praised by,詩作為Y所稱道,P,275
71,1,70,Knew or praised poetry of,稱道Y的詩作,A,274
72,0.5,73,Scholarship source writings of,為Y撰寫學術源宗,P,380
73,0.5,72,Writings scholarship source of,學術源宗由Y撰寫,A,381
74,0.5,0,New Policies dissenters,王安石新法反對者,A,107
75,-1,76,Criticized via poetry by,被Y以詩諷忤,P,155
76,-1,75,Used poetry to criticize,以詩諷忤Y,A,156
83,-1,84,Disliked or hated,忌/惡,A,130
84,-1,83,Disliked or hated by,為Y所忌/惡,P,131
