c_assoc_code,Weight,c_assoc_pair,c_assoc_desc,c_assoc_desc_chn,c_assoc_role_type,c_sortorder,c_assoc_type_id,c_assoc_type_desc_chn
-1,0,-1,[Missing Data],[????],,,#N/A,#N/A
0,0,0,[Undefined],??,,1,101,????????
1,0.07,0,Listed in Yuanyou coalition register (???),??????,A,109,405,????
2,0.07,0,Yuanfu coalition member (???),???????,A,110,405,????
4,0.07,5,Patron of (= Client was),?Y???,A,98,405,????
5,0.07,4,Patron was (= Client of),???Y,P,99,405,????
7,0.07,8,Coalition member of,???Y,P,92,405,????
8,0.07,7,Coalition leader of,???Y,A,91,405,????
9,0.3,9,Friend of,?,M,20,301,????????
10,0.05,10,Friend in the same graduating class,???,M,207,205,??……???
11,-0.5,12,Impeached,??,A,143,407,????
12,-0.5,11,Impeached by,?Y??,P,144,407,????
13,0.5,14,Recommended,??,A,119,406,????
14,0.5,13,Recommended by,?Y??,P,120,406,????
15,-0.5,16,Opposed or attacked,??/??,A,153,407,????
16,-0.5,15,Opposed by or attacked by,??Y???/??,P,154,407,????
17,0.07,18,Praised or admired by,?Y??/??,P,101,405,????
18,0.07,17,Praised or admired,??/??,A,100,405,????
19,0.3,20,Menren of,?Y???,A,222,202,????
20,0.3,19,Menren was,???Y,P,223,202,????
21,0.07,21,Coalition associate of,?Y??,M,90,405,????
22,0.3,23,Student of,?Y???,A,224,202,????
23,0.3,22,Student was,???Y,P,225,202,????
24,0.01,25,"Directly recruited (bi, zoubi, etc)",?,A,80,404,????????
25,0.01,24,"Directly recruited (bi, zoubi) by",?Y??,P,79,404,????????
26,0.07,27,Supported by,??Y???,P,87,405,????
27,0.07,26,Supported,??,A,86,405,????
29,-0.5,30,Purged,??,A,157,407,????
30,-0.5,29,Purged by,?Y??,P,158,407,????
31,0.05,31,Passed institute exam with,(????????),M,211,205,??……???
32,0,33,Prefaced book by,?Y?????,A,429,504,????
33,0,32,Preface of book by,???Y??,P,428,504,????
34,0.05,35,Member of the school of,?Y?????,A,209,205,??……???
35,0.05,34,Member of his school was,???????Y,P,210,205,??……???
36,0.3,37,Disciple (dizi) of,?Y???,A,220,202,????
37,0.3,36,Disciple (dizi) was,???Y,P,221,202,????
38,0,39,Eulogized,?Y??? [??167],A,361,505,????
39,0,38,Eulogized by,???Y??[??166],P,360,505,????
40,0.05,41,Calling transmitted to,????Y??,P,218,203,????
41,0.05,40,Calling received from,?Y?????,A,219,203,????
42,0.01,42,Philosophic school of lixue,????,M,282,204,??????
43,0,44,Epitaph written by,????Y??,P,316,503,????
44,0,43,Epitaph written for,?Y????,A,317,503,????
45,0,46,Postface of book written by,???Y??,P,422,504,????
46,0,45,Postface written for book by,?Y?????,A,423,504,????
47,0.1,48,Healed,??,A,43,701,????????
48,0.1,47,Healed by,?Y??,P,44,701,????????
49,0.3,50,followed,?Y?,A,212,202,????
50,0.3,49,followed by,????Y,P,213,202,????
53,0,54,Occupation continued by,???Y??,P,14,101,????????
54,0,53,Occupation inherited from,??Y???,A,15,101,????????
55,0.5,56,Recommended for decree exam by,?Y????????,P,125,406,????
56,0.5,55,Recommended for decree exam,??Y??????,A,124,406,????
57,0.01,58,Followed literary style of,????Y,A,269,207,??????
58,0.01,57,Literary style followed by,???Y???,P,270,207,??????
