c_personid,Rank,Lindex,friend,enemy,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_latest_year,fl_age,choronym,Lu,entrytype,Longitude,Latitude,c_status_code
9,8.5,1142,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,68
12,6,1140,94.88185868,0,1140,0,0,0,1126,0,0,45,12907,118,116.351341,27.984781,40
20,3,1145,0,0,1145,1079,0,0,0,0,0,0,12669,36,120.733788,31.646582,114
63,1.5,1145,96.76559787,0,1145,0,0,0,0,0,0,0,12753,36,121.542656,29.866316,68
66,6,1142,0,147.1216951,1142,0,0,0,0,0,0,0,12587,36,115.47425,30.30481,68
73,6.5,1143,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,68
75,8,1147,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,68
84,6,1142,0,0,1142,0,0,0,0,0,0,0,13867,36,119.011101,25.433954,68
89,4.5,1149,98.03044147,142.3999445,1149,1090,1155,66,0,0,0,0,12753,50,121.152763,30.049067,68
101,4,1143,89.71274867,0,1143,0,0,59,0,0,0,45,13015,118,112.597038,26.901617,68
107,6,1140,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,68
117,2,1148,92.74425007,0,1148,1089,1157,69,0,0,0,83,12824,36,117.236359,29.382742,68
128,1,1146,58.18817259,168.7472977,1146,1087,1152,66,0,0,0,83,12824,50,117.236359,29.382742,68
148,5.5,1141,0,0,1141,0,0,0,0,0,0,24,11027,0,114.34333,34.785477,68
149,3.5,1145,33.11025194,0,1145,1086,1153,68,0,0,0,0,12824,36,119.486,31.430706,68
160,1,1146,95.68095463,45.91135457,1146,0,1146,0,0,0,0,0,12824,165,118.76899,32.052563,68
166,7.5,1143,0,46.38335516,1143,0,0,0,0,0,0,0,13867,36,118.026779,27.756025,68
167,5.5,1140,51.87942994,0,1140,1093,1140,48,0,0,0,0,12669,36,118.738399,29.480773,68
168,1,1148,97.51286362,0,1148,0,1148,0,0,0,0,0,12669,36,118.738399,29.480773,68
184,6.5,1145,100.1331177,0,1145,0,0,0,0,0,0,0,13867,36,119.2296143,26.09373856,68
201,3.5,1147,93.93503944,0,1147,1090,1147,58,0,0,0,0,13867,36,117.781792,26.39761,68
220,5.5,1143,91.74986896,0,1143,0,0,0,0,0,0,0,12907,50,116.351341,27.984781,192
252,2,1142,94.37910922,42.81956373,1142,1083,1166,84,0,0,0,6,12669,36,119.5706177,31.74697876,68
254,6.5,1143,0,0,1143,0,0,0,0,0,0,0,0,0,0,0,68
264,4,1148,95.02106014,0,1148,1096,1148,53,0,0,0,4,11296,50,113.464426,31.640304,114
289,3.5,1145,33.11025194,0,1145,0,1145,0,0,0,0,4,11027,0,114.34333,34.785477,68
313,8,1144,0,0,1144,0,0,0,0,0,0,4,11027,0,114.34333,34.785477,68
325,6.5,1140,86.22597137,0,1140,1081,1158,78,0,0,0,6,12669,36,119.952301,31.782784,68
337,8,1149,0,0,1149,0,0,0,0,0,0,27,0,50,0,0,68
341,6,1141,0,0,1141,0,0,0,0,0,0,27,12669,0,120.618622,31.31271,68
343,5,1147,0,0,1147,0,0,0,0,0,0,27,12669,0,120.618622,31.31271,68
346,5.5,1145,101.9355419,0,1145,0,0,0,1115,1156,41,27,13867,165,118.026779,27.756025,68
368,6.5,1148,0,0,1148,0,0,0,0,0,0,0,0,0,0,0,68
369,6,1145,96.53303801,0,1145,0,0,0,0,0,0,83,12753,36,118.867645,28.956821,68
373,3.5,1145,92.02000136,0,1145,0,1145,0,0,0,0,83,12753,36,118.867645,28.956821,68
376,6,1140,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,68
377,6.5,1147,86.04792852,0,1147,0,0,0,0,0,0,18,11027,0,114.34333,34.785477,68
380,3.5,1149,93.18142316,0,1149,0,1149,0,0,0,0,19,11027,0,114.34333,34.785477,43
382,9,1149,92.40154888,0,1149,0,0,0,0,0,0,19,11027,0,114.34333,34.785477,68
384,6.5,1145,92.17290436,0,1145,0,0,0,0,0,0,19,12907,0,116.627449,27.559717,68
388,6,1142,0,0,1142,0,0,0,0,0,0,0,0,0,0,0,68
389,4,1147,72.29493966,0,1147,0,0,0,0,0,0,19,12824,0,116.663833,28.994167,68
390,6.5,1149,0,0,1149,0,0,0,0,0,0,19,0,0,0,0,68
398,3.5,1140,88.15011339,0,1140,0,0,67,0,0,0,18,11027,0,114.34333,34.785477,114
399,6,1145,90.07012081,0,1145,0,0,0,0,0,0,18,11027,0,114.34333,34.785477,43
410,9,1145,53.78777195,0,1145,0,0,0,0,0,0,0,12669,36,120.099312,30.864964,68
426,5.5,1140,41.79854586,0,1140,0,0,0,0,0,0,0,12824,0,117.96489,28.450691,68
445,9,1147,0,0,1147,0,0,0,0,0,0,0,0,0,0,0,68
