c_personid,Rank,Friend,Enemy,Lindex,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_ey_nh_code,c_fl_latest_year,c_choronym_code,LU,c_entry_code,Longitude,Latitude,RankD,Rank9
48581,3,0,0,1181,1181,1122,1200,79,0,0,0,0,13867,36,119.321577,26.073954,6,3
1372,8.5,0,0,1083,1083,0,0,0,0,0,0,0,12669,36,120.099312,30.864964,17,8
47310,7,0,0,0,0,0,0,0,0,0,0,0,0,0,114.34333,34.785477,14,7
51154,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7
17832,5.5,0,0,1100,1100,0,0,0,0,0,0,8,11027,0,114.34333,34.785477,11,5
48726,6.5,0,0,1154,1154,0,0,0,0,0,0,0,13867,36,119.011101,25.433954,13,6
394784,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
97171,5,0,0,1118,0,0,0,0,1148,0,1155,0,0,0,0,0,10,5
11286,8.5,27.64467714,41.12785983,1130,1130,0,0,0,0,0,0,62,12753,36,121.542656,29.866316,17,8
42278,8.5,0,0,1076,1076,1018,1076,59,0,0,0,0,13952,36,112.179237,23.912186,17,8
38190,8,0,2.956316442,1276,1276,0,1276,0,1265,558,0,0,12753,165,121.120598,28.843132,16,8
46224,1,0,0,1253,1253,0,0,0,0,0,0,0,12753,36,118.8676453,28.95682144,2,1
17161,9,0,0,1210,1210,0,0,0,0,0,0,48,13284,0,104.197617,31.342484,18,9
96465,5.5,0,0,1044,0,0,0,0,1074,0,1074,0,0,0,0,0,11,5
48000,7.5,0,0,1295,1295,0,0,0,0,0,0,0,12753,36,120.653221,28.018291,15,7
50392,4,69.52213857,0,1096,1096,0,0,0,0,0,0,0,0,0,0,0,8,4
95589,6,0,0,1097,0,0,0,0,1127,0,1135,0,0,0,0,0,12,6
20406,3,73.17709732,39.56216984,1201,1201,1142,1214,73,0,0,0,51,12753,36,119.172379,29.034788,6,3
415187,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
48357,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
384796,8,0,0,1181,1181,0,0,0,0,0,0,0,12753,165,120.025253,28.897268,16,8
41104,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
134154,8.5,0,0,1286,1286,0,0,0,0,0,0,0,12753,0,120.071625,29.300087,17,8
97360,6,0,0,1083,0,0,0,0,1113,0,1114,0,0,0,0,0,12,6
2034,6,83.15267321,0,1149,1149,1096,1149,53,0,0,0,9,13867,0,117.455017,26.720821,12,6
46780,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
45896,9.5,0,0,1171,1171,1112,1198,87,0,0,0,0,12907,0,114.971275,27.103239,19,9
53555,7,0,0,0,0,0,0,0,0,0,0,0,12669,0,120.168625,30.294125,14,7
17982,7,83.99181488,0,1210,1210,1151,1227,77,0,0,0,0,12753,36,119.802269,28.895449,14,7
43413,5.5,75.93388442,0,1274,1274,0,1274,0,0,0,1275,0,0,0,0,0,11,5
425690,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
13393,8.5,78.12102693,0,1165,1165,0,0,0,0,0,0,0,12753,36,120.578262,30.004515,17,8
1882,1,10.89576215,37.72560206,1039,1039,0,0,67,0,0,0,0,11371,36,112.785721,34.840869,2,1
1948,4.5,41.94576895,0,999,999,951,999,49,0,0,0,58,11546,36,115.433306,36.966199,9,4
11749,5.5,66.03607295,0,997,997,0,0,0,0,0,0,34,11027,0,114.34333,34.785477,11,5
221,6,34.82715981,0,1129,1129,0,0,0,0,0,0,0,11203,0,117.187683,34.269634,12,6
1773,2.5,72.79415313,0,1121,1121,0,0,79,1102,534,0,20,11703,0,114.563645,38.14011,5,2
425637,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
50181,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
402600,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
960,7.5,27.64467714,0,1076,1076,0,0,0,0,0,0,0,13284,101,104.077995,30.650385,15,7
16692,2.5,86.4007408,0,1197,1197,1138,1218,81,0,0,0,39,12824,36,117.844589,29.244728,5,2
7001,3.5,77.48856321,59.52962774,1149,1149,1090,1149,60,0,0,0,8,12669,36,120.932022,30.517859,7,3
27179,7,27.64467714,0,1140,1140,1120,1140,21,0,0,0,0,12824,0,116.681953,28.691545,14,7
1812,6,0,0,1063,1063,0,0,0,0,0,0,0,0,0,0,0,12,6
51205,6.5,0,0,1181,1181,0,0,0,0,0,0,0,12753,36,119.478851,29.204453,13,6
43139,8,0,0,1146,1146,0,0,0,1116,536,0,0,13867,50,119.321577,26.073954,16,8
97784,4,0,0,1097,0,0,0,0,1127,0,1128,0,0,0,0,0,8,4
48211,8.5,0,0,1168,1168,0,0,43,0,0,0,0,13952,36,112.225082,22.702915,17,8
48952,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6
10906,6,0,0,1133,1133,0,0,0,0,0,0,11,13867,36,119.534469,26.198015,12,6
19593,6,70.74422268,0,1018,1018,0,0,0,988,510,0,15,13867,36,119.534469,26.198015,12,6
426096,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
404094,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
414625,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9
1418,7.5,0,0,1150,1150,0,1150,0,0,0,0,31,11371,36,114.226669,33.264837,15,7
1816,4.5,0,0,1092,1092,0,0,0,0,0,0,0,0,0,0,0,9,4
44123,8,0,0,1019,0,0,0,0,1049,524,0,0,0,0,0,0,16,8
2053,9,0,0,1127,1127,0,0,0,0,0,0,0,0,0,0,0,18,9
50263,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
137320,8.5,0,0,0,0,0,0,0,0,0,0,0,13867,0,117.781792,26.39761,17,8
22814,4.5,50.15026956,0,1205,1205,1146,1231,86,0,0,0,0,12669,165,120.099312,30.864964,9,4
42081,1.5,0,0,1107,1107,0,0,0,0,0,0,0,0,94,0,0,3,1
1402,6,0,0,1093,1093,0,0,0,0,0,0,0,12907,0,115.132248,27.214367,12,6
41211,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5
14590,5.5,74.02099211,0,1050,1050,0,0,0,0,0,0,0,11371,36,112.38263,34.665276,11,5
298,3,75.94419404,0,1072,1072,1013,1082,70,0,0,0,4,11203,36,115.646072,34.447662,6,3
19776,5,34.82715981,0,1121,1121,0,0,0,1086,530,0,0,13867,36,119.381439,25.727917,10,5
38529,8.5,0,0,1118,1118,0,0,0,1088,530,1099,0,12669,36,120.084801,30.553133,17,8
3515,1,78.37587916,0,1057,1057,0,0,0,0,0,0,0,11703,36,114.345497,36.098343,2,1
43575,5,82.74130692,0,1162,1162,0,1162,0,0,0,0,0,0,0,0,0,10,5
423353,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
97579,7,0,0,1149,0,0,0,0,1179,0,1181,0,0,0,0,0,14,7
14903,2.5,81.26863947,0,1194,1194,0,0,0,0,0,0,22,12753,36,121.542656,29.866316,5,2
43860,7.5,0,0,1043,1043,0,0,0,0,0,1043,0,0,0,0,0,15,7
43543,9.5,34.82715981,0.5,1131,1131,0,1131,0,0,0,0,0,0,0,0,0,19,9
3170,2,77.41150946,0,1162,1162,0,0,51,0,0,0,0,12669,77,120.618622,31.31271,4,2
23621,7.5,63.62919105,0,1196,1196,0,0,0,0,0,0,18,13867,36,119.321577,26.073954,15,7
42405,9,0,0,1151,0,0,0,0,1181,544,0,0,0,0,0,0,18,9
14836,8.5,0,0,1230,1230,0,0,0,0,0,0,0,12907,0,115.398987,28.015566,17,8
41885,2.5,0,0,1060,1060,0,0,0,1060,526,0,0,0,0,0,0,5,2
14624,1.5,72.54468612,0,1081,1081,0,0,0,0,0,0,18,11027,64,114.34333,34.785477,3,1
21843,1,83.18015799,0,1262,1262,0,1262,0,0,0,0,0,12587,36,117.67569,32.530247,2,1
96172,6,0,0,1170,0,0,0,0,1200,0,1200,0,0,0,0,0,12,6
1110,5.5,0,0,1122,1122,0,0,0,0,0,0,0,12669,0,120.618622,31.31271,11,5
26521,2.5,34.82715981,0,1031,1031,972,1031,60,0,0,0,0,11371,101,112.38263,34.665276,5,2
20369,7.5,45.88342906,0,1076,1076,0,0,0,0,0,0,0,13867,36,119.2296143,26.09373856,15,7
40561,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
387775,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
44744,5,0,0,1234,1234,0,0,0,0,0,1234,0,0,0,0,0,10,5
15066,6,0,0,1199,1199,0,0,78,0,0,0,0,13867,36,118.589905,24.909641,12,6
42646,4,82.64522475,0,1271,1271,0,0,0,1241,554,0,0,12824,36,118.191361,28.438469,8,4
24772,5,0,0,1208,1208,0,0,0,1178,544,1207,0,13867,36,119.518837,25.959837,10,5
38898,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
425579,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
404302,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9
25662,8.5,68.98073287,0,1079,1079,1025,1079,55,0,0,0,0,11371,118,112.38263,34.665276,17,8
10531,1,76.35426508,0,1067,1067,1008,1070,63,0,0,0,19,11027,74,114.34333,34.785477,2,1
50979,9,0,0,1295,1295,0,0,0,0,0,0,0,12907,36,116.061584,27.75564,18,9
3861,9,74.87808291,0,1035,1035,0,0,28,0,0,0,2,13867,36,118.68367,25.36455727,18,9
390176,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
511,6.5,0,0,1155,1155,0,0,0,0,0,0,0,0,0,0,0,13,6
414253,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
50414,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
395604,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8
48230,5.5,0,0,1253,1253,0,0,74,0,0,0,0,12907,36,116.351341,27.984781,11,5
47719,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
587,4,71.29476787,0,1083,1083,1033,1083,51,0,0,0,0,11371,118,112.38263,34.665276,8,4
11411,4.5,78.94775461,0,1060,1060,0,0,0,1030,518,0,62,13867,36,119.011101,25.433954,9,4
1676,5.5,43.65351004,0,1109,1109,1050,1115,66,0,0,0,4,11901,118,108.906976,34.246423,11,5
426039,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9
