kin_code,Weight,Name
75,1,父
82,1,嗣父
107,1,養父
111,1,母
135,1,妻子
138,1,第一任妻
163,1,第二任妻
168,1,妾
176,1,女兒
180,1,子
182,1,長子; 第一子
183,1,次子
184,1,三子
185,1,四子
186,1,過繼的嗣子
188,1,季子
191,1,五子
193,1,獨子
194,1,六子
195,1,十子
196,1,七子
198,1,唯一幸存的兒子
199,1,八子
202,1,二十五子
204,1,庶子
205,1,十三子
206,1,九子
207,1,十一子
211,1,二十子
212,1,十七子
213,1,二十三子
220,1,幸存的長子
221,1,十二子
222,1,二十四子
226,1,私生子
227,1,養女
229,1,十六子
230,1,二女
231,1,二十二子
234,1,十五子
235,1,二十一子
307,1,十四子
326,1,十九子
327,1,長女
329,1,三女
334,1,四女
335,1,五女
339,1,十八子
343,1,獨女
344,1,第三任妻
363,1,私生子之本生父
373,1,私生女
377,1,私生子女之本生母
378,1,嗣母
420,1,嫡母
436,1,養子(非嗣子)
437,1,養母
439,1,過繼的嗣孫
440,1,嗣祖父
450,1,十三女
451,1,六女
452,1,七女
453,1,八女
454,1,九女
455,1,十女
456,1,十一女
457,1,十二女
458,1,十四女
467,1,第四任妻  
468,1,庶母  
559,1,第三任丈夫
560,1,嗣子(作為繼承人的兒子)
575,1,二十六子
